K,M,N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
4,40000,0.25,0.052983,0.0023948300566010946,0.043762999999999996,0.0018521692687224892,0.135788,0.0035815996426178057,0.0489230901581408,0.0023118050179882933,0.05054683536240451,0.0024524721678696525,0.08887806430692675,0.003116981454770518,0.10632135806366177,0.002801185388535705,0.05362819789006247,0.002641891201302909
4,80000,0.05,0.0002575,0.0002584932300854318,0.00021749999999999997,0.0002362599204266352,0.0008900000000000003,0.00048,0.0001895206305490575,0.00018898295183077525,0.00026926063322698545,0.0002833735245905785,0.0004439107126073276,0.000324166661180357,0.0006140529237520023,0.0003743335070372571,0.0002725410073722097,0.00023741289945153132
4,80000,0.07,0.0008142857142857144,0.0003662412498084077,0.0007267857142857142,0.00033048260166005717,0.0026535714285714283,0.0007465994336226851,0.0007817638743596907,0.00036255923258211127,0.000852647617117369,0.0004324313479079627,0.0015583359416903291,0.0004682972310284708,0.001936491617956311,0.0005405854999903477,0.0008511460157633219,0.0003843030984593401
4,80000,0.09,0.0019527777777777777,0.00046140385620247967,0.0019374999999999998,0.0005605246522700577,0.006230555555555555,0.0009405598214774953,0.0018520482003385244,0.0005183075074164512,0.0019816845610659563,0.0005996048424824483,0.003743023268995399,0.0007193608915269192,0.004520455595913319,0.0008273015318147163,0.001962413077959605,0.000550979780467206
4,80000,0.11,0.0038829545454545453,0.0006910464501616311,0.003697727272727272,0.0006465140152392881,0.012326136363636362,0.0011090414249393054,0.0035657375556133546,0.000644527962851301,0.003916402478341484,0.0007597602981602183,0.007200975101349601,0.0009399726386285838,0.008948464353348156,0.0009482659095743047,0.003873046221485753,0.0006959574177551471
4,80000,0.13,0.006614423076923077,0.0007868528382443914,0.006445192307692308,0.0006979544022592995,0.021231730769230774,0.0013430386344661272,0.006167677976701755,0.0007590925137563142,0.006828906287235065,0.0009006401118535062,0.012669103823330242,0.001079950957667051,0.015496338869860902,0.001179077786925449,0.006797135451988055,0.0008622284792351191
4,80000,0.15,0.010747499999999998,0.001093634041472131,0.010005833333333334,0.001007627507784719,0.032863333333333335,0.0016882979594846405,0.010085178292417419,0.0009974687308735917,0.011125889304358382,0.0011331737186442887,0.019919604451027736,0.001385886903097312,0.024461027412873763,0.0014070763394743004,0.010930396084896826,0.0009758234798412453
4,80000,0.17,0.015948529411764705,0.0011480717624026372,0.01474485294117647,0.0009725056261567715,0.04800441176470588,0.0018838751887117148,0.014940041050880317,0.0010757279631013284,0.016362645330066698,0.001097149761408126,0.0289588559665125,0.001302992786719109,0.03559395411390537,0.0015906335039989443,0.01666085173786179,0.0012639444817920532
4,80000,0.19,0.02273157894736842,0.001459947727975578,0.020616447368421057,0.0010801363394372272,0.0656375,0.00216561709920293,0.021419882113212663,0.0012278172485883046,0.023201243266386628,0.001436341972063568,0.04070469558235042,0.0016470477034289924,0.049676193585508364,0.0019475673918216236,0.023524579216698118,0.0011628081938529996
4,80000,0.21,0.031202380952380957,0.0014363133473396508,0.027296428571428572,0.0012012364897506192,0.0863988095238095,0.0022442528641771517,0.029158748259068862,0.001266904880704069,0.03064272317969186,0.0014352279745263785,0.054573559094109346,0.0017833092653419987,0.06593530636442502,0.001899681243824947,0.03155456590960312,0.0014547941339168615
